Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Dreamscape,"Sun Wall > Sand Rock > Alabama",https://www.mountainproject.com/route/105979968/dreamscape,3.8,-1,Sport,5.11c,1,75,34.18041,-85.81555
"Comfortably Numb","The Pinnacle > Sand Rock > Alabama",https://www.mountainproject.com/route/105905196/comfortably-numb,3.6,-1,"Trad, TR",5.9,1,120,34.17948,-85.81775
Misty,"Sun Wall > Sand Rock > Alabama",https://www.mountainproject.com/route/105905421/misty,3.6,-1,Sport,5.10b/c,1,90,34.18041,-85.81555
Oyster,"Holiday Block > Sand Rock > Alabama",https://www.mountainproject.com/route/105926850/oyster,3.0,-1,Sport,5.10a,1,80,34.17961,-85.8179
"Pigs in Zen (Tuesday's Gone)","Holiday Block > Sand Rock > Alabama",https://www.mountainproject.com/route/105930746/pigs-in-zen-tuesdays-gone,3.0,-1,Sport,5.10d,1,70,34.17961,-85.8179
"Cinco de Mayo","Holiday Block > Sand Rock > Alabama",https://www.mountainproject.com/route/106311736/cinco-de-mayo,2.9,-1,Sport,5.10c/d,1,40,34.17961,-85.8179
"That Eight (aka Kennel Club)","Holiday Block > Sand Rock > Alabama",https://www.mountainproject.com/route/105915410/that-eight-aka-kennel-club,2.7,-1,Sport,5.8,1,60,34.17961,-85.8179
"My Dog Has Fleas","Holiday Block > Sand Rock > Alabama",https://www.mountainproject.com/route/105915399/my-dog-has-fleas,2.5,-1,Sport,5.9-,1,60,34.17961,-85.8179
"Six Toes","Jaws Block/West Side Rock > Sand Rock > Alabama",https://www.mountainproject.com/route/105978873/six-toes,2.4,-1,Sport,5.10a,1,30,34.1799,-85.81751
"Too Pumped Chump","The Flintstone > Sand Rock > Alabama",https://www.mountainproject.com/route/105962664/too-pumped-chump,2.6,-1,Sport,5.10b,1,40,34.17889,-85.81983
Rabies,"Holiday Block > Sand Rock > Alabama",https://www.mountainproject.com/route/105930750/rabies,2.7,-1,Sport,5.11a,1,75,34.17961,-85.8179
"Knife Crack","Griffin Falls > Alabama",https://www.mountainproject.com/route/105923698/knife-crack,3.8,-1,Trad,5.9+,1,70,34.2876,-85.9237
"Price is Right","The Hole > Sand Rock > Alabama",https://www.mountainproject.com/route/106311388/price-is-right,3.1,-1,Sport,"5.11a PG13",1,35,34.18035,-85.81478
"Thin in the Middle","Jaws Block/West Side Rock > Sand Rock > Alabama",https://www.mountainproject.com/route/106098693/thin-in-the-middle,2.5,-1,Sport,5.10c/d,1,30,34.1799,-85.81751
"Yum Yum Tree","Harvest Wall > Jamestown > Alabama",https://www.mountainproject.com/route/105905795/yum-yum-tree,3.0,-1,Trad,5.7+,1,120,34.4112,-85.5737
"Captain Ron","New Wall (AKA Kurt Russell Block) > Sand Rock > Alabama",https://www.mountainproject.com/route/108009978/captain-ron,2.5,-1,Sport,5.8,1,35,34.18069,-85.81316
"Heave Ho","Jaws Block/West Side Rock > Sand Rock > Alabama",https://www.mountainproject.com/route/106102019/heave-ho,2.8,-1,Sport,5.11a,1,30,34.1799,-85.81751
Jaws,"Jaws Block/West Side Rock > Sand Rock > Alabama",https://www.mountainproject.com/route/105943764/jaws,3.1,-1,"Trad, TR",5.9+,1,27,34.1799,-85.81751
"Walking the Dog","Holiday Block > Sand Rock > Alabama",https://www.mountainproject.com/route/106101126/walking-the-dog,2.6,-1,Trad,5.9-,1,60,34.17961,-85.8179
"Never Believe","Holiday Block > Sand Rock > Alabama",https://www.mountainproject.com/route/106102075/never-believe,3.3,-1,Sport,5.11b,1,45,34.17961,-85.8179
"Elephant Crack","Palisades Park > Alabama",https://www.mountainproject.com/route/105914451/elephant-crack,3.0,-1,"Trad, TR",5.7+,1,70,33.98856,-86.45815
"Gravy Train","Holiday Block > Sand Rock > Alabama",https://www.mountainproject.com/route/105961944/gravy-train,3.3,-1,Trad,5.10a,1,75,34.17961,-85.8179
"Popular Science (Golden Flake)","Sun Wall > Sand Rock > Alabama",https://www.mountainproject.com/route/106098687/popular-science-golden-flake,3.0,-1,"Trad, TR",5.9+,1,60,34.18041,-85.81555
"White Gold","Sun Wall > Sand Rock > Alabama",https://www.mountainproject.com/route/105979251/white-gold,3.0,-1,Trad,5.9+,1,80,34.18041,-85.81555
